param_n_estimators,param_max_depth,param_learning_rate,param_subsample,param_colsample_bytree,param_min_child_weight,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,rank_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,params
315,6,0.09148202493973988,0.7698281182242285,0.7357107144454987,3,0.8102288021534321,0.8089887640449438,0.8058088483620398,0.8065268065268065,0.8041652670473631,0.8071436976269171,0.0021888611620207573,349,0.8940435755115567,0.8956212234086582,0.8961017509084902,0.895042281545349,0.8964202850513755,0.8954458232850859,0.0008413948821488993,364,1.6364301204681397,0.020211425523458254,0.05152187347412109,0.006833382779994026,"{'n_estimators': 315, 'max_depth': 6, 'learning_rate': np.float64(0.09148202493973988), 'subsample': np.float64(0.7698281182242285), 'colsample_bytree': np.float64(0.7357107144454987), 'min_child_weight': 3}"
575,2,0.06995622327898601,0.9186591208577617,0.9323778506704612,9,0.7898132427843803,0.7975871313672922,0.7923627684964201,0.8013400335008375,0.7912162162162162,0.7944638784730292,0.004327276330086743,547,0.8059499661933739,0.8059046815689582,0.8035487959442332,0.8029406793983438,0.8061387975377351,0.8048965841285287,0.0013646292303212935,546,1.9216021060943604,0.04715176039920663,0.04770879745483399,0.006065333623080198,"{'n_estimators': 575, 'max_depth': 2, 'learning_rate': np.float64(0.06995622327898601), 'subsample': np.float64(0.9186591208577617), 'colsample_bytree': np.float64(0.9323778506704612), 'min_child_weight': 9}"
249,6,0.13469219814630662,0.7627171946597794,0.7357107144454987,2,0.8072531900604433,0.8115942028985508,0.8043257857384252,0.8055555555555556,0.8032074841296358,0.8063872436765219,0.0029296577348492327,395,0.912003943800838,0.9135396994827162,0.9160192983890751,0.9134607497334098,0.9132644695851779,0.9136576321982434,0.001305327559143208,332,1.322410249710083,0.04227074653996082,0.047467279434204104,0.0076476865048693875,"{'n_estimators': 249, 'max_depth': 6, 'learning_rate': np.float64(0.13469219814630662), 'subsample': np.float64(0.7627171946597794), 'colsample_bytree': np.float64(0.7357107144454987), 'min_child_weight': 2}"
587,5,0.16453898367056088,0.7868847507357761,0.9906378765545018,10,0.8064836255375455,0.811443433029909,0.8,0.8061760840998686,0.8007902535396774,0.8049786792414,0.004190986522121129,473,0.9222384903204816,0.923939541686982,0.9255232841148792,0.9264371549204287,0.9259770862110994,0.9248231114507741,0.001541946675057523,57,2.5535902976989746,0.04520810026686714,0.07324891090393067,0.01406710824556814,"{'n_estimators': 587, 'max_depth': 5, 'learning_rate': np.float64(0.16453898367056088), 'subsample': np.float64(0.7868847507357761), 'colsample_bytree': np.float64(0.9906378765545018), 'min_child_weight': 10}"
425,2,0.09148202493973988,0.7698281182242285,0.7380819985464547,5,0.786342123056119,0.7990685296074518,0.7960837272113437,0.8001332445036642,0.7913425769360839,0.7945940402629326,0.005130090780346291,546,0.8054596006403235,0.8059600976513175,0.8050462573591253,0.8000672890907562,0.8063401062305033,0.8045746701944051,0.002296003240306702,547,1.4267155647277832,0.06272101255371314,0.0384249210357666,0.004490659564905185,"{'n_estimators': 425, 'max_depth': 2, 'learning_rate': np.float64(0.09148202493973988), 'subsample': np.float64(0.7698281182242285), 'colsample_bytree': np.float64(0.7380819985464547), 'min_child_weight': 5}"
540,2,0.16402008010669075,0.794741852724803,0.7936676663707799,6,0.8001366586949095,0.8026578073089701,0.799051169095222,0.808695652173913,0.7905723905723906,0.800222735569081,0.005869054880590741,537,0.8219409282700422,0.8240148198046481,0.8217680208596181,0.8198789101917255,0.824960161033297,0.8225125680318662,0.0017924702517706857,536,1.7824966430664062,0.11413891935934622,0.041513490676879886,0.010539931104332746,"{'n_estimators': 540, 'max_depth': 2, 'learning_rate': np.float64(0.16402008010669075), 'subsample': np.float64(0.794741852724803), 'colsample_bytree': np.float64(0.7936676663707799), 'min_child_weight': 6}"
227,4,0.16453898367056088,0.9598418343333062,0.8288445403403935,2,0.8025912035458574,0.8066225165562914,0.8048698004734528,0.8139767054908486,0.8033613445378152,0.806284314120853,0.004085851970830766,400,0.8509389671361502,0.8544388609715243,0.8547752573867916,0.8503475420819027,0.8542276490758551,0.8529456553304449,0.001897240348283934,499,0.9355913639068604,0.04323008885651707,0.027269458770751952,0.00639961940005902,"{'n_estimators': 227, 'max_depth': 4, 'learning_rate': np.float64(0.16453898367056088), 'subsample': np.float64(0.9598418343333062), 'colsample_bytree': np.float64(0.8288445403403935), 'min_child_weight': 2}"
417,5,0.08425917518135125,0.8787062584014742,0.7971259835204482,1,0.8044654939106901,0.8106135986733002,0.8064952638700947,0.8099502487562189,0.7998654557685839,0.8062780121957775,0.003917548524667729,401,0.8891472224528771,0.8889258120794218,0.8876190476190476,0.8871195156340715,0.8871679573653094,0.8879959110301454,0.0008701535663958353,393,1.8841858863830567,0.03439840290272151,0.05484790802001953,0.012814636120126842,"{'n_estimators': 417, 'max_depth': 5, 'learning_rate': np.float64(0.08425917518135125), 'subsample': np.float64(0.8787062584014742), 'colsample_bytree': np.float64(0.7971259835204482), 'min_child_weight': 1}"
436,5,0.16453898367056088,0.7868847507357761,0.7247667995666672,9,0.8038628038628038,0.8077810748433893,0.807666886979511,0.8101761252446184,0.8066445182724252,0.8072262818405495,0.0020422995484984316,341,0.8992758393680053,0.9010754453657335,0.9038493038493038,0.8999753836054812,0.902346955522731,0.901304585542251,0.0016429985080443333,345,2.0176175594329835,0.04250999461502324,0.059167337417602536,0.007786011335754252,"{'n_estimators': 436, 'max_depth': 5, 'learning_rate': np.float64(0.16453898367056088), 'subsample': np.float64(0.7868847507357761), 'colsample_bytree': np.float64(0.7247667995666672), 'min_child_weight': 9}"
540,6,0.16137052139275213,0.8458862581292529,0.9184357827325575,6,0.8027934818756235,0.7997390737116764,0.8003972194637538,0.8067664281067014,0.8018524644392987,0.8023097335194107,0.0024727003857458038,522,0.9649290610553164,0.9687748924645532,0.9668768457179344,0.9684512428298279,0.9692430278884462,0.9676550139912156,0.0015777364524253794,29,2.561194896697998,0.08664634949789347,0.09008092880249023,0.012949229155818868,"{'n_estimators': 540, 'max_depth': 6, 'learning_rate': np.float64(0.16137052139275213), 'subsample': np.float64(0.8458862581292529), 'colsample_bytree': np.float64(0.9184357827325575), 'min_child_weight': 6}"
436,5,0.016228793930772537,0.8721735995501632,0.9906378765545018,9,0.7863013698630137,0.796077105174163,0.791867677463818,0.793726559836345,0.7895997263085871,0.7915144877291852,0.003366849955954298,549,0.802354346157127,0.8007547817136976,0.8017101325352715,0.8004797395699478,0.8035928143712575,0.8017783628694601,0.001128076879917165,549,2.103357124328613,0.0664776868300534,0.06922774314880371,0.0036354732576095897,"{'n_estimators': 436, 'max_depth': 5, 'learning_rate': np.float64(0.016228793930772537), 'subsample': np.float64(0.8721735995501632), 'colsample_bytree': np.float64(0.9906378765545018), 'min_child_weight': 9}"
425,2,0.1642074976456099,0.9271568179505945,0.7936676663707799,5,0.8012253233492171,0.8010680907877169,0.7993197278911565,0.805247225025227,0.7933828494260635,0.8000486432958762,0.0038578031757818157,539,0.8177762814577898,0.8192771084337349,0.8176842105263158,0.8143267443824971,0.8194842406876791,0.8177097170976033,0.0018469020202866752,538,1.41874041557312,0.06576999671991367,0.030440521240234376,0.01152308141732129,"{'n_estimators': 425, 'max_depth': 2, 'learning_rate': np.float64(0.1642074976456099), 'subsample': np.float64(0.9271568179505945), 'colsample_bytree': np.float64(0.7936676663707799), 'min_child_weight': 5}"
315,6,0.0647589093090525,0.7698281182242285,0.7380819985464547,3,0.8020408163265306,0.8078719146097398,0.8068143100511074,0.8123118099698896,0.8031123139377537,0.8064302329790042,0.003663180976548492,392,0.870023419203747,0.8704107292539816,0.872742474916388,0.8702571404640255,0.8717733825008381,0.871041429267796,0.0010467614589394255,444,1.5984060764312744,0.08842045524403169,0.05893659591674805,0.005030762989364175,"{'n_estimators': 315, 'max_depth': 6, 'learning_rate': np.float64(0.0647589093090525), 'subsample': np.float64(0.7698281182242285), 'colsample_bytree': np.float64(0.7380819985464547), 'min_child_weight': 3}"
