number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,state
24,0.8086547341821344,2026-06-11 12:28:22.798103,2026-06-11 12:28:30.129354,0 days 00:00:07.331251,0.8930438805556788,1.66812502317195,0.07047199521125141,6,2,500,0.03541279537998046,4.403715657598682,1.5534209847337517,0.9574256027441256,COMPLETE
25,0.8057670368567644,2026-06-11 12:28:30.129914,2026-06-11 12:28:39.218991,0 days 00:00:09.089077,0.905521155590558,1.5153886790122766,0.059830330757625595,7,2,500,0.042585702415945045,3.529271139619301,2.203654645780002,0.9569674874717098,COMPLETE
26,0.8084801891307636,2026-06-11 12:28:39.219991,2026-06-11 12:28:48.020608,0 days 00:00:08.800617,0.9301363315973677,1.711843949479825,0.04644945703937049,6,2,500,1.0169180044650027e-06,2.23464048618831,1.5236139455549094,0.9470760065986105,COMPLETE
27,0.8068535281229232,2026-06-11 12:28:48.021629,2026-06-11 12:28:56.601852,0 days 00:00:08.580223,0.9974040805242715,1.0662187366066616,0.06718137130812299,7,4,400,0.0007177287956546658,5.818507260689518,1.9228843027060463,0.9696985683687492,COMPLETE
28,0.809788954725317,2026-06-11 12:28:56.601852,2026-06-11 12:29:09.237460,0 days 00:00:12.635608,0.8407256419981125,0.4620619412218818,0.048810748089689805,6,1,600,0.02123022067893466,1.3409232234558424,1.8262400729109252,0.925939080449513,COMPLETE
29,0.7973136194149112,2026-06-11 12:29:09.237460,2026-06-11 12:29:19.360489,0 days 00:00:10.123029,0.8469640227202406,3.168938015983224,0.032485268936507765,7,1,600,4.6404837559551755e-05,1.4646753964440915,2.57189913166525,0.9276747408258516,COMPLETE
30,0.8012570274315731,2026-06-11 12:29:19.360489,2026-06-11 12:29:29.449166,0 days 00:00:10.088677,0.8846995584516244,2.4619682077888068,0.04881712796870779,6,1,700,0.014517607988134127,1.4860191010984112,2.128448972077962,0.9724524561114037,COMPLETE
31,0.8080650554878769,2026-06-11 12:29:29.451203,2026-06-11 12:29:38.849308,0 days 00:00:09.398105,0.8447314735235113,0.5345087052586185,0.07018834636842299,6,2,500,0.3018816861039096,1.1170931918210942,1.841315331663326,0.9184878319932942,COMPLETE
32,0.8073416668241314,2026-06-11 12:29:38.850308,2026-06-11 12:29:50.170450,0 days 00:00:11.320142,0.8955004812776507,0.21430857440781753,0.05500220587809626,6,3,600,0.02823470246607121,2.0138664733312717,1.5012094722299374,0.8694342998365641,COMPLETE
33,0.7997809728203094,2026-06-11 12:29:50.170450,2026-06-11 12:29:59.984087,0 days 00:00:09.813637,0.8002831011705843,1.0900375719065205,0.04340809937626988,5,2,600,1.0346202748323551e-08,4.202903393435845,2.4354019163599263,0.9447145565534191,COMPLETE
34,0.8103141841185982,2026-06-11 12:29:59.985085,2026-06-11 12:30:08.514614,0 days 00:00:08.529529,0.9439835996724626,1.5219486755946061,0.08050518473517476,7,1,500,0.0008998308910900442,2.9580390892106347,1.853124972490103,0.8851011611887483,COMPLETE
35,0.8046002825717234,2026-06-11 12:30:08.514614,2026-06-11 12:30:14.825172,0 days 00:00:06.310558,0.9553753851828239,2.2040016894875736,0.14063107229558666,7,1,500,0.0007537591880147016,3.179889410122347,1.20638336673084,0.98037076546157,COMPLETE
36,0.8065017442612223,2026-06-11 12:30:14.826172,2026-06-11 12:30:24.766676,0 days 00:00:09.940504,0.9390445479590851,1.7266971549308383,0.10824778458667315,7,2,600,1.7247845255383646e-05,1.0235525723327121,1.4261232491304352,0.7313549017886756,COMPLETE
37,0.8082633111959516,2026-06-11 12:30:24.767676,2026-06-11 12:30:31.529064,0 days 00:00:06.761388,0.8699540742267825,1.4465720539144908,0.1909664318560511,7,1,500,0.000273174704293561,4.372069232999611,1.8227331940766969,0.9408658340427045,COMPLETE
38,0.8093583868308233,2026-06-11 12:30:31.529064,2026-06-11 12:30:41.135726,0 days 00:00:09.606662,0.9142812423694601,1.8583135755434288,0.07102159064104427,6,1,600,0.0014635023886495385,3.520486890663207,1.2076903464756543,0.820090331561605,COMPLETE
39,0.8064423191692154,2026-06-11 12:30:41.145246,2026-06-11 12:30:50.656064,0 days 00:00:09.510818,0.990281734397296,2.283715291471979,0.13158211280659546,6,1,700,0.0015782384794117846,3.4213539196873124,1.1698467567509754,0.8173009886064571,COMPLETE
40,0.7983563035692468,2026-06-11 12:30:50.657062,2026-06-11 12:31:03.367848,0 days 00:00:12.710786,0.9101347594732464,2.537980118275672,0.04102986710750579,7,1,600,0.005940393718805298,5.126497495029576,2.691387069489959,0.7732549460479882,COMPLETE
41,0.8092442352077935,2026-06-11 12:31:03.371866,2026-06-11 12:31:13.512213,0 days 00:00:10.140347,0.9451407081154245,1.9591654592573882,0.06995144364701189,6,2,600,0.0006585261746172121,3.8333598383811,1.534419045786914,0.8004627347646691,COMPLETE
42,0.8106913898157504,2026-06-11 12:31:13.512213,2026-06-11 12:31:23.577999,0 days 00:00:10.065786,0.9446106768305865,1.8663898013319171,0.0534190790335475,6,2,600,0.000412947954307356,2.8109917418547905,1.2484840425618398,0.8024214439312192,COMPLETE
43,0.8070491469686913,2026-06-11 12:31:23.577999,2026-06-11 12:31:33.818951,0 days 00:00:10.240952,0.9704890257937702,1.8320375697367215,0.029561621491036385,5,1,600,1.5893861091569737e-05,2.799767727039997,1.208557611981884,0.8359443316778,COMPLETE
44,0.8074855217771815,2026-06-11 12:31:33.818951,2026-06-11 12:31:45.555086,0 days 00:00:11.736135,0.922314763425199,2.1110613263370057,0.05640751681968691,7,2,700,6.366577377322016e-06,3.336437608567883,1.328407961855314,0.748345124615223,COMPLETE
45,0.805201833055753,2026-06-11 12:31:45.555086,2026-06-11 12:31:54.865429,0 days 00:00:09.310343,0.94914948418465,1.5218441615532747,0.15558872340088134,6,3,600,0.0016713734013516595,2.441055539940222,1.4061548201909297,0.803936744364216,COMPLETE
46,0.8085313685434837,2026-06-11 12:31:54.865429,2026-06-11 12:32:07.186015,0 days 00:00:12.320586,0.9788057532337302,1.3137471637347984,0.05134793113370057,5,1,700,0.00011697022782638223,1.8445883102529024,1.1506306899769438,0.7871506179933772,COMPLETE
47,0.8055891761885009,2026-06-11 12:32:07.187015,2026-06-11 12:32:15.733479,0 days 00:00:08.546464,0.8367420926488996,2.996217889892357,0.08708021526832986,6,2,600,0.0003527817346089734,2.8633076952056356,2.0699408366773318,0.8374639702028103,COMPLETE
48,0.8061337497157611,2026-06-11 12:32:15.733479,2026-06-11 12:32:25.555547,0 days 00:00:09.822068,0.9151506383024733,1.841301053715216,0.06618591178949561,7,3,500,3.127112239162013e-05,3.8779637751399445,1.8336140722451686,0.7526433679964228,COMPLETE
49,0.7993705507499023,2026-06-11 12:32:25.555547,2026-06-11 12:32:28.715930,0 days 00:00:03.160383,0.9324186957377608,2.080819301419444,0.10196629057257782,3,1,200,1.500591529542933e-06,1.15902398384114,1.3045467065479295,0.8547206581450808,COMPLETE
